Red,Green,Blue
0.341,0.345,0.314
0.344,0.344,0.312
0.341,0.346,0.313
0.341,0.346,0.312
0.343,0.343,0.314
0.340,0.345,0.316
0.340,0.345,0.316
0.343,0.343,0.314
0.345,0.345,0.311
0.341,0.341,0.317
0.341,0.341,0.317
0.343,0.343,0.313
0.342,0.342,0.317
0.340,0.345,0.315
0.340,0.345,0.314
0.344,0.344,0.313
0.342,0.342,0.316
0.345,0.340,0.314
0.345,0.340,0.314
0.347,0.342,0.311
0.346,0.340,0.314
0.346,0.340,0.314
0.347,0.342,0.311
0.344,0.344,0.312
0.348,0.343,0.309
0.344,0.344,0.311
0.346,0.346,0.308
0.348,0.342,0.310
0.344,0.340,0.316
0.347,0.342,0.311
0.347,0.342,0.311
0.347,0.342,0.311
0.346,0.342,0.313
0.347,0.343,0.311
0.347,0.343,0.311
0.348,0.340,0.312
0.346,0.342,0.311
0.346,0.342,0.312
0.346,0.342,0.312
0.346,0.342,0.312
0.347,0.343,0.310
0.348,0.341,0.311
0.350,0.342,0.308
0.350,0.342,0.308
0.350,0.342,0.308
0.350,0.342,0.308
0.350,0.342,0.308
0.352,0.341,0.307
0.350,0.343,0.307
0.350,0.343,0.307
0.350,0.343,0.307
0.348,0.344,0.309
0.349,0.341,0.310
0.347,0.343,0.310
0.347,0.343,0.310
0.347,0.343,0.310
0.347,0.343,0.310
0.347,0.343,0.309
0.347,0.343,0.309
0.346,0.342,0.312
0.344,0.344,0.312
0.347,0.343,0.310
0.347,0.343,0.310
0.345,0.340,0.315
0.345,0.340,0.316
0.346,0.341,0.313
0.346,0.341,0.313
0.343,0.338,0.318
0.345,0.340,0.315
0.343,0.338,0.319
0.345,0.340,0.315
0.349,0.339,0.312
0.349,0.339,0.312
0.350,0.339,0.311
0.350,0.339,0.311
0.350,0.339,0.311
0.350,0.339,0.311
0.350,0.339,0.311
0.352,0.335,0.313
0.352,0.335,0.313
0.354,0.337,0.309
0.355,0.337,0.308
0.351,0.339,0.310
0.358,0.339,0.303
0.358,0.339,0.303
0.355,0.337,0.308
0.355,0.337,0.308
0.354,0.337,0.309
0.356,0.333,0.311
0.351,0.335,0.314
0.353,0.337,0.310
0.349,0.339,0.312
0.349,0.339,0.312
0.349,0.338,0.313
0.348,0.338,0.314
0.349,0.340,0.311
0.346,0.341,0.313
0.345,0.341,0.314
0.342,0.342,0.316
0.345,0.341,0.315
0.345,0.340,0.315
0.343,0.343,0.315
0.343,0.343,0.315
0.342,0.342,0.316
0.342,0.342,0.316
0.344,0.341,0.315
0.344,0.341,0.315
0.344,0.340,0.316
0.344,0.340,0.316
0.344,0.340,0.316
0.344,0.340,0.316
0.343,0.343,0.315
0.345,0.341,0.314
0.344,0.340,0.316
0.344,0.340,0.316
0.344,0.340,0.316
0.346,0.339,0.315
0.348,0.341,0.312
0.345,0.342,0.313
0.347,0.340,0.313
0.346,0.343,0.311
0.345,0.345,0.310
0.345,0.345,0.310
0.342,0.347,0.311
0.345,0.345,0.309
0.345,0.345,0.310
0.343,0.348,0.310
0.344,0.344,0.311
0.345,0.351,0.305
0.352,0.346,0.302
0.358,0.343,0.299
0.361,0.346,0.293
0.358,0.343,0.299
0.357,0.343,0.300
0.354,0.347,0.299
0.355,0.342,0.303
0.356,0.342,0.302
0.356,0.342,0.302
0.356,0.342,0.302
0.357,0.343,0.300
0.352,0.345,0.303
0.353,0.347,0.300
0.353,0.347,0.300
0.353,0.347,0.300
0.353,0.346,0.301
0.355,0.342,0.303
0.352,0.345,0.303
0.352,0.345,0.303
0.353,0.346,0.301
0.353,0.346,0.301
0.357,0.343,0.300
0.352,0.345,0.303
0.354,0.347,0.299
0.355,0.342,0.303
0.352,0.345,0.303
0.351,0.345,0.304
0.352,0.341,0.307
0.348,0.342,0.310
0.349,0.344,0.306
0.349,0.344,0.307
0.349,0.344,0.308
0.345,0.345,0.310
0.345,0.345,0.311
0.346,0.346,0.308
0.345,0.345,0.310
0.345,0.345,0.310
0.342,0.346,0.312
0.344,0.344,0.311
0.344,0.344,0.311
0.342,0.346,0.313
0.344,0.344,0.311
0.345,0.345,0.311
0.345,0.345,0.311
0.345,0.345,0.311
0.342,0.346,0.312
0.342,0.346,0.312
0.342,0.346,0.312
0.344,0.348,0.308
0.342,0.346,0.312
0.342,0.346,0.312
0.342,0.346,0.311
0.343,0.348,0.309
0.342,0.347,0.311
0.343,0.347,0.310
0.344,0.349,0.307
0.346,0.346,0.309
0.346,0.346,0.308
0.349,0.344,0.307
0.345,0.345,0.311
0.347,0.347,0.307
0.345,0.345,0.310
0.346,0.346,0.307
0.345,0.345,0.310
0.342,0.347,0.311
0.345,0.345,0.310
0.343,0.343,0.313
0.345,0.345,0.309
0.347,0.342,0.311
0.347,0.342,0.311
0.346,0.346,0.309
0.348,0.342,0.310
0.344,0.344,0.312
0.344,0.344,0.311
0.346,0.346,0.309
0.350,0.340,0.310
0.350,0.335,0.315
0.353,0.333,0.314
0.351,0.336,0.313
0.346,0.332,0.322
0.341,0.332,0.327
0.332,0.327,0.341
