Red,Green,Blue
0.326,0.368,0.306
0.332,0.372,0.296
0.336,0.376,0.288
0.340,0.380,0.281
0.341,0.382,0.276
0.344,0.385,0.271
0.347,0.387,0.266
0.352,0.387,0.260
0.356,0.388,0.256
0.356,0.392,0.252
0.357,0.391,0.251
0.358,0.391,0.251
0.357,0.392,0.251
0.357,0.391,0.252
0.353,0.389,0.258
0.350,0.388,0.262
0.345,0.383,0.271
0.337,0.379,0.283
0.329,0.370,0.301
0.321,0.365,0.315
0.314,0.357,0.329
0.310,0.348,0.341
0.308,0.344,0.348
0.306,0.343,0.351
0.302,0.344,0.354
0.296,0.346,0.358
0.290,0.350,0.361
0.281,0.357,0.362
0.274,0.362,0.364
0.268,0.367,0.366
0.264,0.370,0.367
0.260,0.373,0.368
0.251,0.382,0.366
0.242,0.399,0.359
0.239,0.403,0.358
0.235,0.406,0.359
0.233,0.403,0.364
0.239,0.393,0.368
0.252,0.384,0.364
0.259,0.380,0.361
0.263,0.380,0.357
0.265,0.381,0.354
0.265,0.385,0.350
0.261,0.392,0.347
0.260,0.398,0.342
0.263,0.399,0.338
0.262,0.405,0.333
0.272,0.399,0.329
0.325,0.378,0.297
0.332,0.373,0.295
0.337,0.371,0.293
0.338,0.372,0.290
0.339,0.375,0.286
0.340,0.378,0.283
0.340,0.378,0.281
0.339,0.382,0.278
0.339,0.384,0.277
0.338,0.389,0.273
0.336,0.393,0.272
0.336,0.395,0.269
0.339,0.392,0.268
0.343,0.389,0.268
0.345,0.387,0.268
0.347,0.385,0.268
0.349,0.384,0.267
0.350,0.383,0.267
0.351,0.382,0.267
0.352,0.380,0.267
0.353,0.380,0.267
0.354,0.379,0.266
0.354,0.380,0.266
0.353,0.382,0.266
0.351,0.383,0.265
0.349,0.385,0.266
0.349,0.385,0.266
0.347,0.387,0.266
0.344,0.389,0.267
0.340,0.392,0.268
0.339,0.393,0.268
0.338,0.394,0.268
0.338,0.392,0.269
0.337,0.393,0.270
0.335,0.393,0.273
0.335,0.393,0.271
0.334,0.394,0.271
0.336,0.394,0.270
0.338,0.394,0.268
0.340,0.395,0.265
0.343,0.396,0.261
0.349,0.394,0.257
0.352,0.393,0.255
0.352,0.393,0.255
0.351,0.394,0.255
0.350,0.395,0.255
0.347,0.397,0.256
0.346,0.397,0.257
0.341,0.399,0.260
0.337,0.401,0.262
0.336,0.400,0.264
0.335,0.400,0.265
0.336,0.399,0.266
0.336,0.397,0.267
0.337,0.397,0.266
0.337,0.397,0.266
0.336,0.397,0.267
0.337,0.397,0.266
0.338,0.396,0.266
0.338,0.397,0.265
0.338,0.396,0.266
0.338,0.397,0.265
0.338,0.398,0.265
0.338,0.397,0.264
0.338,0.398,0.264
0.337,0.399,0.264
0.338,0.398,0.264
0.337,0.400,0.263
0.338,0.400,0.262
0.337,0.399,0.263
0.338,0.400,0.262
0.340,0.401,0.260
0.342,0.401,0.257
0.346,0.399,0.255
0.352,0.398,0.250
0.356,0.396,0.248
0.359,0.395,0.246
0.358,0.393,0.249
0.351,0.396,0.253
0.334,0.401,0.264
0.328,0.394,0.279
0.325,0.381,0.294
