Red,Green,Blue
0.465,0.281,0.254
0.462,0.282,0.256
0.465,0.280,0.255
0.462,0.282,0.256
0.466,0.280,0.254
0.463,0.279,0.258
0.458,0.281,0.260
0.460,0.280,0.260
0.460,0.280,0.260
0.460,0.280,0.260
0.471,0.279,0.250
0.485,0.274,0.241
0.485,0.274,0.241
0.489,0.272,0.239
0.496,0.269,0.235
0.502,0.270,0.228
0.506,0.268,0.226
0.509,0.268,0.223
0.513,0.266,0.221
0.514,0.266,0.220
0.514,0.268,0.218
0.516,0.268,0.217
0.514,0.267,0.219
0.514,0.267,0.219
0.510,0.267,0.223
0.502,0.269,0.229
0.502,0.269,0.229
0.496,0.270,0.234
0.486,0.276,0.239
0.481,0.276,0.243
0.471,0.279,0.250
0.459,0.280,0.260
0.456,0.284,0.260
0.460,0.282,0.258
0.462,0.281,0.257
0.465,0.281,0.254
0.471,0.280,0.249
0.473,0.279,0.248
0.473,0.281,0.246
0.473,0.280,0.246
0.477,0.278,0.244
0.478,0.280,0.243
0.476,0.279,0.245
0.477,0.278,0.244
0.479,0.277,0.243
0.483,0.274,0.243
0.483,0.275,0.242
0.483,0.275,0.242
0.481,0.278,0.241
0.467,0.283,0.250
0.454,0.287,0.259
0.444,0.290,0.266
0.438,0.292,0.271
0.425,0.295,0.281
0.421,0.297,0.283
0.420,0.297,0.283
0.419,0.300,0.282
0.420,0.297,0.283
0.422,0.298,0.279
0.430,0.295,0.275
0.444,0.290,0.266
0.455,0.284,0.261
0.467,0.280,0.252
0.474,0.282,0.244
0.479,0.280,0.242
0.484,0.279,0.237
0.489,0.276,0.235
0.487,0.277,0.237
0.485,0.276,0.238
0.486,0.277,0.237
0.486,0.276,0.237
0.487,0.275,0.238
0.489,0.277,0.234
0.489,0.277,0.234
0.488,0.278,0.234
0.486,0.277,0.236
0.485,0.279,0.236
0.482,0.279,0.239
0.479,0.280,0.241
0.477,0.280,0.243
0.475,0.281,0.244
0.468,0.283,0.249
0.465,0.285,0.250
0.460,0.286,0.254
0.455,0.286,0.259
0.458,0.285,0.258
0.458,0.284,0.258
0.458,0.284,0.258
0.452,0.285,0.263
0.451,0.287,0.262
0.443,0.289,0.267
0.441,0.291,0.268
0.432,0.294,0.274
0.428,0.296,0.276
0.424,0.296,0.279
0.425,0.296,0.279
0.423,0.297,0.280
0.427,0.296,0.277
0.427,0.295,0.278
0.433,0.296,0.271
0.435,0.294,0.271
0.437,0.293,0.270
0.439,0.292,0.269
0.443,0.292,0.266
0.443,0.291,0.265
0.450,0.289,0.260
0.454,0.288,0.259
0.454,0.288,0.259
0.451,0.289,0.260
0.449,0.290,0.261
0.446,0.290,0.264
0.446,0.290,0.264
0.444,0.291,0.265
0.441,0.291,0.268
0.439,0.292,0.269
0.438,0.291,0.272
0.433,0.295,0.272
0.422,0.297,0.281
0.417,0.299,0.283
0.419,0.297,0.284
0.414,0.299,0.287
0.414,0.301,0.285
0.412,0.301,0.288
0.408,0.301,0.291
0.403,0.305,0.292
0.391,0.308,0.301
